Timestamp;IP;MAC;tension;temperature;current
17/04/2025 16:33;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-53.92;-0.15
17/04/2025 16:33;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-53.47;-0.25
17/04/2025 16:33;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-54.61;-0.10
17/04/2025 16:33;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-55.44;-0.30
17/04/2025 16:34;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-56.81;-4.10
17/04/2025 16:34;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:34;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:34;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:34;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:34;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-54.26;-0.08
17/04/2025 16:34;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-56.18;-0.20
17/04/2025 16:34;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-56.43;-0.15
17/04/2025 16:34;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:34;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:34;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:34;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:34;;;;;
17/04/2025 16:34;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-54.38;-0.14
17/04/2025 16:34;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-55.81;-0.22
17/04/2025 16:35;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-55.69;-0.25
17/04/2025 16:35;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.77
17/04/2025 16:35;192.168.4.1;34:86:5D:FD:CE:AD;3.82;-273.15;-37.88
17/04/2025 16:35;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:35;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:35;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-53.25;0.63
17/04/2025 16:35;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-54.26;0.83
17/04/2025 16:35;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:35;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:35;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:35;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:36;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-55.20;0.50
17/04/2025 16:36;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-55.44;0.77
17/04/2025 16:36;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-55.81;0.06
17/04/2025 16:36;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:36;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:36;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:36;;;;;
17/04/2025 16:36;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-55.32;-0.05
17/04/2025 16:36;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-55.93;-0.10
17/04/2025 16:36;192.168.4.1;34:86:5D:FD:CE:AD;3.82;-273.15;-37.52
17/04/2025 16:36;192.168.4.1;34:86:5D:FD:CE:AD;3.81;-273.15;-37.88
17/04/2025 16:36;;;;;
17/04/2025 16:37;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-54.50;0.77
17/04/2025 16:37;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-54.73;0.53
17/04/2025 16:37;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-54.85;0.55
17/04/2025 16:37;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-54.73;0.70
17/04/2025 16:37;192.168.4.1;34:86:5D:FD:CE:AD;3.82;-273.15;-37.88
17/04/2025 16:37;192.168.4.1;34:86:5D:FD:CE:AD;3.82;-273.15;-37.88
17/04/2025 16:37;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:37;192.168.4.1;34:86:5D:FD:CE:AD;3.82;-273.15;-37.88
17/04/2025 16:37;;;3.83;-273.15;-37.88
17/04/2025 16:37;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-54.73;0.70
17/04/2025 16:37;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-54.26;0.49
17/04/2025 16:37;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-53.25;0.77
17/04/2025 16:37;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-55.32;0.56
17/04/2025 16:37;;;;;
17/04/2025 16:37;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.82
17/04/2025 16:37;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.49
17/04/2025 16:37;192.168.4.1;34:86:5D:FD:CE:AD;3.83;-273.15;-37.88
17/04/2025 16:38;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-53.25;0.63
17/04/2025 16:38;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-56.18;0.24
17/04/2025 16:38;192.168.4.1;24:6F:28:0F:AD:CD;-0.02;-54.85;0.69
